id,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4409511633,,,Gurminder K. Bhambra,https://openalex.org/A5064248726,https://orcid.org/0000-0003-3658-1575,GB,University of Sussex,https://openalex.org/I162608824,True,cc-by-nc-nd,0.91325586,1,https://openalex.org/I162608824,"Empires, Famine, and the Significance of the Political Economy of Colonialism: From the Mughal Empire to British Colonial Rule in India",https://doi.org/10.1017/s0003975625000050,Princeton University|Leverhulme Trust|University of Cambridge|University of Oxford,4.2398,,False,en,True,hybrid,European Journal of Sociology,https://openalex.org/P4310311721,Cambridge University Press,https://openalex.org/S96897161,0003-9756,journal,"Culture, Economy, and Development Studies",2025-04-01,2025,article
https://openalex.org/W2116152358,,,K.M. de Silva,https://openalex.org/A5026925503,,,,,True,cc-by,0.99425804,221,,A History of Sri Lanka,https://doi.org/10.5771/0506-7286-1984-2-278,,24.15,,False,de,True,hybrid,Verfassung in Recht und Übersee,https://openalex.org/P4310319939,Nomos,https://openalex.org/S4210205831,0506-7286,journal,Asian Geopolitics and Ethnography,1984-01-01,1984,book
https://openalex.org/W580894353,,,Nandini Bhattacharya,https://openalex.org/A5112066431,,GB,University of Leicester,https://openalex.org/I153648349,True,,0.83494044,37,https://openalex.org/I153648349,Contagion and Enclaves: Tropical Medicine in Colonial India,,,1.5947,,False,en,True,green,OAPEN (The OAPEN Foundation),,,https://openalex.org/S4306402535,,repository,Global Maritime and Colonial Histories,2013-02-15,2013,book
https://openalex.org/W1940402366,,,Peter Robb,https://openalex.org/A5027138827,,,,,True,,0.40999021,26,,"Ancient Rights and Future Comfort: Bihar, the Bengal Tenancy Act of 1885, and British Rule in India",,,0.0,,False,en,True,green,SOAS Research Online (SOAS University of London),https://openalex.org/I31575130,SOAS University of London,https://openalex.org/S4306402168,,repository,South Asian Studies and Conflicts,1997-01-01,1997,book
https://openalex.org/W4244711586,,,Nandini Bhattacharya,https://openalex.org/A5112066431,,,,,True,cc-by-nc-nd,0.75516497,28,,Contagion and Enclaves,https://doi.org/10.5949/upo9781846317835,,0.4304,,False,en,True,green,Liverpool University Press eBooks,https://openalex.org/P4310320436,Liverpool University Press,https://openalex.org/S4306463559,,ebook platform,"Colonialism, slavery, and trade",2012-11-20,2012,book
https://openalex.org/W2618104598,,,Andrew Flachs,https://openalex.org/A5043360495,https://orcid.org/0000-0002-8754-2050,US,Washington University in St. Louis,https://openalex.org/I204465549,True,cc-by,0.98317412,19,https://openalex.org/I204465549,Redefining success: the political ecology of genetically modified and organic cotton as solutions to agrarian crisis,https://doi.org/10.2458/v23i1.20179,John Templeton Foundation|National Geographic Society,12.1137,,False,en,True,diamond,Journal of Political Ecology,https://openalex.org/P4310315944,University of Arizona,https://openalex.org/S161564205,1073-0451,journal,"Agriculture, Land Use, Rural Development",2016-12-01,2016,article
https://openalex.org/W1560485730,,,Tristram Hunt,https://openalex.org/A5109053856,,,,,True,,0.83740766,22,,Ten Cities That Made an Empire,,,1.4007,,False,en,True,green,Medical Entomology and Zoology,https://openalex.org/P4310319750,Japan Society of Medical Entomology and Zoology,https://openalex.org/S4210197683,0424-7086,journal,Australian History and Society,2014-07-29,2014,book
https://openalex.org/W4388007088,6830,,The Lancet,https://openalex.org/A5051354853,,,,,True,,0.90221843,8,,Sri Lanka at 75: safeguarding its health achievements,https://doi.org/10.1016/s0140-6736(23)02393-0,,2.6959,https://pubmed.ncbi.nlm.nih.gov/37898522,False,en,True,bronze,The Lancet,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S49861241,0140-6736,journal,Global Public Health Policies and Epidemiology,2023-10-01,2023,editorial
https://openalex.org/W3024385600,,,Andrea Major,https://openalex.org/A5073127366,https://orcid.org/0000-0003-0304-6365,,,,True,,0.98498954,8,,"British Humanitarian Political Economy and Famine in India, 1838–1842",https://doi.org/10.1017/jbr.2019.293,Arts and Humanities Research Council,13.7611,,False,en,True,bronze,Journal of British Studies,https://openalex.org/P4310311721,Cambridge University Press,https://openalex.org/S197577296,0021-9371,journal,Historical and Contemporary Political Dynamics,2020-04-01,2020,article
https://openalex.org/W2464234353,,,Kate Boehme,https://openalex.org/A5065645595,https://orcid.org/0000-0002-6199-7794,,,,True,,0.27435629,8,,"Smuggling India: Deconstructing Western India's Illicit Export Trade, 1818–1870",https://doi.org/10.1017/s1356186315000334,,0.0,,False,en,True,green,Journal of the Royal Asiatic Society,https://openalex.org/P4310311721,Cambridge University Press,https://openalex.org/S194872021,1356-1863,journal,"Colonialism, slavery, and trade",2015-07-21,2015,article
